who_owns_what_export
housenumber,streetname,zip,boro,registrationid,lastregistrationdate,registrationenddate,bbl,bin,hpdbuildingid,hpdbuildings,corpnames,businessaddrs,ownernames,allcontacts,totalviolations,openviolations,totalcomplaints,recentcomplaints,recentcomplaintsbytype,unitsres,yearbuilt,council,lat,lng,evictions,rsunits2007,rsunitslatest,rsunitslatestyear,rsdiff,yearstartedj51,yearstarted421a,lastsaleacrisid,lastsaledate,lastsaleamount,evictionfilings
537,EAST 139TH STREET,10454,BRONX,206131,2024-08-26,2025-09-01,2022670065,2000084,62967,1,537 E 139 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 537 E 139 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",461,21,648,54,"DOOR/WINDOW (9), PAINT/PLASTER (7), SAFETY (7), PLUMBING (5), WATER LEAK (5), PESTS (5), FLOORING/STAIRS (4), HEAT/HOT WATER (3), ELECTRIC (2), APPLIANCE (2), MOLD (2), BELL/BUZZER/INTERCOM (1), CABINET (1), GARBAGE/RECYCLING STORAGE (1)",21,1906,8,40.8080551,-73.9177261,5,20,21,2022,1,,,2007052300371001,2007-05-17,1085000,44
533,EAST 139TH STREET,10454,BRONX,200118,2024-08-26,2025-09-01,2022670067,2000085,62966,1,533 E 139 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 533 E 139 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",249,76,493,109,"WATER LEAK (18), PAINT/PLASTER (17), PLUMBING (16), HEAT/HOT WATER (14), MOLD (11), ELECTRIC (7), PESTS (5), DOOR/WINDOW (5), APPLIANCE (4), FLOORING/STAIRS (4), GARBAGE/RECYCLING STORAGE (2), OUTSIDE BUILDING (2), BELL/BUZZER/INTERCOM (1), COOKING GAS (1), SAFETY (1), MAILBOX (1)",20,1915,8,40.8081128,-73.9178597,1,20,20,2022,0,,,2021100101169001,2021-09-24,2575000,22
1178,WASHINGTON AVENUE,10456,BRONX,202080,2024-08-26,2025-09-01,2023720007,2001313,119674,1,1178 W LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1178 W LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",630,91,1204,220,"HEAT/HOT WATER (55), PAINT/PLASTER (26), PLUMBING (21), PESTS (18), WATER LEAK (16), DOOR/WINDOW (15), MOLD (13), APPLIANCE (12), CABINET (11), ELECTRIC (10), FLOORING/STAIRS (9), SAFETY (4), BELL/BUZZER/INTERCOM (4), GARBAGE/RECYCLING STORAGE (2), MAILBOX (2), COOKING GAS (1), JANITOR/SUPER (1)",20,1929,16,40.8302079,-73.9071256,5,17,16,2022,-1,,,2011110200398001,2011-10-26,1050000,30
3007,THIRD AVENUE,10455,BRONX,205022,2024-08-26,2025-09-01,2023760049,2001396,806986,2,3007-09 3RD LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 3007-09 3RD LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",430,5,364,63,"HEAT/HOT WATER (17), PLUMBING (8), GARBAGE/RECYCLING STORAGE (7), PESTS (7), MOLD (5), PAINT/PLASTER (4), ELECTRIC (4), FLOORING/STAIRS (3), APPLIANCE (2), JANITOR/SUPER (2), WATER LEAK (2), DOOR/WINDOW (1), OUTSIDE BUILDING (1)",9,1905,17,40.8194046,-73.9140775,2,9,10,2022,1,,,2021100100931001,2021-09-24,2950000,
900,MELROSE AVENUE,10451,BRONX,210824,2024-08-27,2025-09-01,2023830005,2001504,95624,1,402 E 162 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 402 E 162 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",906,29,986,211,"PESTS (34), DOOR/WINDOW (30), PAINT/PLASTER (26), SAFETY (25), PLUMBING (23), WATER LEAK (20), MOLD (12), HEAT/HOT WATER (9), BELL/BUZZER/INTERCOM (7), FLOORING/STAIRS (7), APPLIANCE (6), CABINET (6), ELECTRIC (4), OUTSIDE BUILDING (2)",26,1914,17,40.824608,-73.9133409,6,23,0,2022,-23,,,2007080601724004,2007-07-26,1425000,25
465,EAST 167TH STREET,10456,BRONX,209725,2024-08-27,2025-09-01,2023890051,2001614,64952,1,465 E LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 465 E LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",362,33,1495,127,"PAINT/PLASTER (23), DOOR/WINDOW (22), APPLIANCE (14), HEAT/HOT WATER (11), WATER LEAK (11), PLUMBING (9), FLOORING/STAIRS (8), MOLD (7), PESTS (6), ELECTRIC (4), CABINET (4), SAFETY (3), GARBAGE/RECYCLING STORAGE (2), BELL/BUZZER/INTERCOM (2), VENTILATION SYSTEM (1)",23,1905,16,40.8300273,-73.9079099,1,22,22,2022,0,,,2011110200398002,2011-10-26,1350000,41
230,EAST 167TH STREET,10456,BRONX,205141,2024-08-26,2025-09-01,2024520054,2002665,64930,1,230 E 167 LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 230 E 167 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",535,63,1252,151,"PLUMBING (26), PAINT/PLASTER (26), APPLIANCE (15), MOLD (13), FLOORING/STAIRS (13), HEAT/HOT WATER (11), PESTS (10), DOOR/WINDOW (8), CABINET (7), ELECTRIC (5), WATER LEAK (5), SAFETY (4), BELL/BUZZER/INTERCOM (3), VENTILATION SYSTEM (1), SEWAGE (1), GARBAGE/RECYCLING STORAGE (1), COOKING GAS (1), ELEVATOR (1)",78,1936,16,40.833475,-73.9155192,9,74,75,2022,1,,,2021082600052001,2021-08-16,13550000,109
1127,SHERIDAN AVENUE,10456,BRONX,203559,2024-08-26,2025-09-01,2024560075,2002742,109425,1,1125-1127 S LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1125-1127 S LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",1467,103,1808,501,"HEAT/HOT WATER (97), PLUMBING (86), PAINT/PLASTER (62), DOOR/WINDOW (39), PESTS (35), FLOORING/STAIRS (32), MOLD (28), WATER LEAK (27), BELL/BUZZER/INTERCOM (24), ELECTRIC (22), CABINET (14), APPLIANCE (14), GARBAGE/RECYCLING STORAGE (8), SAFETY (6), VENTILATION SYSTEM (2), JANITOR/SUPER (2), OUTSIDE BUILDING (2), COOKING GAS (1)",49,1927,16,40.8324146,-73.9179742,12,49,0,2022,-49,,,2015020400526001,2015-02-03,5200000,115
85,MC CLELLAN STREET,10452,BRONX,209119,2024-08-26,2025-09-01,2024790001,2002954,95441,1,"85 MCCLELLAN STREET OWNERS, INC",49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 85 MCCLELLAN STREET OWNERS, INC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",327,22,472,82,"HEAT/HOT WATER (31), DOOR/WINDOW (9), PESTS (9), MOLD (7), PAINT/PLASTER (7), WATER LEAK (7), ELECTRIC (4), BELL/BUZZER/INTERCOM (3), APPLIANCE (3), FLOORING/STAIRS (2)",56,1940,16,40.8339482,-73.920838,7,9,0,2022,-9,,,,,,62
1344,UNIVERSITY AVENUE,10452,BRONX,209711,2024-08-26,2025-09-01,2025320015,2003533,116778,1,1344 UNIVERSITY LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1344 UNIVERSITY LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",1035,108,1037,400,"PLUMBING (67), DOOR/WINDOW (52), PESTS (48), PAINT/PLASTER (38), FLOORING/STAIRS (34), HEAT/HOT WATER (32), MOLD (26), SAFETY (23), APPLIANCE (20), BELL/BUZZER/INTERCOM (18), ELECTRIC (13), WATER LEAK (12), GARBAGE/RECYCLING STORAGE (9), CABINET (5), SEWAGE (2), COOKING GAS (1)",52,1926,16,40.8412309,-73.9265288,7,48,52,2022,4,,,2021090700048001,2021-08-05,10000,133
574,EAST 139TH STREET,10454,BRONX,202261,2024-08-26,2025-09-01,2025510008,2003624,62974,1,574 E 139 LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 574 E 139 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",235,6,301,31,"SAFETY (7), DOOR/WINDOW (5), HEAT/HOT WATER (4), PLUMBING (3), PESTS (3), WATER LEAK (2), APPLIANCE (2), PAINT/PLASTER (1), MOLD (1), ELECTRIC (1), FLOORING/STAIRS (1), CABINET (1)",11,1931,8,40.8071046,-73.9166616,2,11,11,2022,0,,,2021100101354001,2021-09-24,1825000,17
600,TRINITY AVENUE,10455,BRONX,211705,2024-08-27,2025-09-01,2026230147,2004419,115748,1,600 TRINITY AVE LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 600 TRINITY AVE LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",821,120,1070,279,"HEAT/HOT WATER (75), PAINT/PLASTER (41), DOOR/WINDOW (27), PLUMBING (25), WATER LEAK (22), FLOORING/STAIRS (22), MOLD (20), APPLIANCE (16), ELECTRIC (9), PESTS (9), BELL/BUZZER/INTERCOM (5), CABINET (4), COOKING GAS (2), GARBAGE/RECYCLING STORAGE (1), SAFETY (1)",48,1937,8,40.814079,-73.9094782,9,50,50,2022,0,,,2021082500080001,2021-08-16,5675000,104
643,SOUTHERN BOULEVARD,10455,BRONX,207006,2024-08-26,2025-09-01,2026830094,2005091,110181,1,643 SOUTHERN LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 643 SOUTHERN LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",1493,140,2239,628,"PAINT/PLASTER (115), DOOR/WINDOW (97), PLUMBING (96), FLOORING/STAIRS (87), MOLD (48), WATER LEAK (47), PESTS (41), HEAT/HOT WATER (34), CABINET (21), APPLIANCE (19), SAFETY (10), GARBAGE/RECYCLING STORAGE (4), LINE OF TRAVEL (4), ELECTRIC (3), JANITOR/SUPER (2)",46,1925,17,40.8133584,-73.9009751,3,46,46,2022,0,,,2021122901351004,2021-12-21,5200000,53
1025,LONGWOOD AVENUE,10459,BRONX,207345,2024-08-26,2025-09-01,2027210040,2005743,92542,1,801 SOUTHERN LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 801 SOUTHERN LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",634,128,1181,227,"HEAT/HOT WATER (160), DOOR/WINDOW (12), BELL/BUZZER/INTERCOM (10), PLUMBING (9), SAFETY (6), PESTS (6), PAINT/PLASTER (5), WATER LEAK (3), MOLD (3), ELECTRIC (3), SEWAGE (2), LINE OF TRAVEL (2), GARBAGE/RECYCLING STORAGE (2), APPLIANCE (1), FLOORING/STAIRS (1), JANITOR/SUPER (1), CABINET (1)",19,1931,17,40.8166534,-73.8961869,,14,15,2022,1,,,2007052300371006,2007-05-17,997000,10
1359,FINDLAY AVENUE,10456,BRONX,210790,2024-08-27,2025-09-01,2027830052,2007201,78361,1,1359 FIND LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1359 FIND LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",507,17,239,53,"PESTS (13), PAINT/PLASTER (7), MOLD (7), HEAT/HOT WATER (7), DOOR/WINDOW (5), WATER LEAK (4), ELECTRIC (2), PLUMBING (2), SAFETY (2), COOKING GAS (1), GARBAGE/RECYCLING STORAGE (1), FLOORING/STAIRS (1), APPLIANCE (1)",11,1900,16,40.8366221,-73.9103835,,11,0,2022,-11,,,2011040800482001,2011-04-01,1775000,20
1355,FINDLAY AVENUE,10456,BRONX,210820,2024-10-12,2025-09-01,2027830054,2007202,78358,1,1355 FIND LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"GIANCARLO FERREIRA (HeadOfficer), GIANCARLO FERREIRA (SiteManager), GIANCARLO FERREIRA (Agent)","GIANCARLO FERREIRA (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; GIANCARLO FERREIRA (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; GIANCARLO FERREIRA (SiteManager); 1355 FIND LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",510,30,612,180,"HEAT/HOT WATER (89), WATER LEAK (22), PAINT/PLASTER (18), APPLIANCE (10), PESTS (9), DOOR/WINDOW (8), PLUMBING (7), MOLD (6), ELECTRIC (4), JANITOR/SUPER (2), FLOORING/STAIRS (2), GARBAGE/RECYCLING STORAGE (1), COOKING GAS (1), SAFETY (1)",10,1916,16,40.8365288,-73.9104451,,11,9,2022,-2,,,2022042100590001,2022-04-14,1965000,
1515,GRAND CONCOURSE,10452,BRONX,201030,2024-10-12,2025-09-01,2028350016,2008009,81704,1,1515 GC LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"GIANCARLO FERREIRA (Agent), GIANCARLO FERREIRA (HeadOfficer)","GIANCARLO FERREIRA (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; GIANCARLO FERREIRA (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1515 GC LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",1106,253,1303,534,"PAINT/PLASTER (107), HEAT/HOT WATER (64), PLUMBING (63), FLOORING/STAIRS (52), PESTS (45), WATER LEAK (37), DOOR/WINDOW (33), BELL/BUZZER/INTERCOM (31), MOLD (30), APPLIANCE (27), CABINET (17), ELECTRIC (14), SAFETY (6), MAILBOX (2), SEWAGE (1), VENTILATION SYSTEM (1), SIGNAGE MISSING (1), GARBAGE/RECYCLING STORAGE (1), JANITOR/SUPER (1), ELEVATOR (1)",75,1927,16,40.8416141,-73.9132031,8,50,0,2022,-50,,,2022012601435001,2022-01-19,14400000,110
115,EAST 169TH STREET,10452,BRONX,207242,2024-08-26,2025-09-01,2028390083,2008042,65105,1,115 E 169 LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 115 E 169 LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",545,33,636,320,"PLUMBING (58), DOOR/WINDOW (55), PAINT/PLASTER (39), PESTS (27), ELECTRIC (26), FLOORING/STAIRS (25), MOLD (24), APPLIANCE (15), CABINET (11), WATER LEAK (10), HEAT/HOT WATER (7), BELL/BUZZER/INTERCOM (7), SAFETY (6), GARBAGE/RECYCLING STORAGE (3), VENTILATION SYSTEM (2), ELEVATOR (2), JANITOR/SUPER (2), COOKING GAS (1)",38,1928,16,40.8371679,-73.9172203,1,38,37,2022,-1,,,2021120101269001,2021-11-18,5115000,57
1738,UNIVERSITY AVENUE,10453,BRONX,206387,2024-08-26,2025-09-01,2028760112,2008835,116839,1,1738 U LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1738 U LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",776,58,595,372,"HEAT/HOT WATER (73), PAINT/PLASTER (53), PLUMBING (40), FLOORING/STAIRS (38), DOOR/WINDOW (30), PESTS (28), BELL/BUZZER/INTERCOM (21), CABINET (18), MOLD (17), WATER LEAK (10), GARBAGE/RECYCLING STORAGE (9), ELECTRIC (8), APPLIANCE (8), ELEVATOR (5), SAFETY (4), COOKING GAS (3), MAILBOX (3), SIGNAGE MISSING (2), SEWAGE (1), JANITOR/SUPER (1)",73,1925,14,40.8488493,-73.9170937,3,72,0,2022,-72,,,2022020200824001,2022-01-27,11470000,73
1818,CLAY AVENUE,10457,BRONX,215858,2024-08-27,2025-09-01,2028910061,2009360,56982,1,1818 CLAY LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1818 CLAY LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",616,135,970,141,"PLUMBING (23), PAINT/PLASTER (23), ELECTRIC (17), HEAT/HOT WATER (17), DOOR/WINDOW (15), WATER LEAK (13), APPLIANCE (10), MOLD (10), FLOORING/STAIRS (6), PESTS (3), CABINET (2), SEWAGE (1), SAFETY (1)",24,1937,14,40.8470417,-73.9043768,2,25,0,2022,-25,,,2004021101368001,2003-12-23,1300000,66
1801,MARMION AVENUE,10460,BRONX,214099,2024-08-27,2025-09-01,2029520053,2010012,94487,1,1801 M LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1801 M LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",611,26,1361,135,"PLUMBING (29), PESTS (18), HEAT/HOT WATER (16), WATER LEAK (13), DOOR/WINDOW (13), PAINT/PLASTER (12), FLOORING/STAIRS (10), BELL/BUZZER/INTERCOM (5), GARBAGE/RECYCLING STORAGE (5), MOLD (4), APPLIANCE (4), SAFETY (3), ELECTRIC (2), SEWAGE (1)",26,1931,15,40.8404387,-73.8898396,5,25,26,2022,1,,,2022052500306003,2022-05-18,3450000,33
1809,MARMION AVENUE,10460,BRONX,206259,2024-08-26,2025-09-01,2029530048,2010021,94489,1,1809 M LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 1809 M LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",254,50,507,132,"HEAT/HOT WATER (24), PAINT/PLASTER (18), PLUMBING (17), MOLD (17), PESTS (14), DOOR/WINDOW (12), WATER LEAK (9), APPLIANCE (7), FLOORING/STAIRS (5), ELECTRIC (5), CABINET (2), BELL/BUZZER/INTERCOM (2)",30,1936,15,40.8408006,-73.8894704,3,31,0,2022,-31,,,2022052500908003,2022-05-18,3150000,47
2485,ELM PLACE,10458,BRONX,204153,2024-08-26,2025-09-01,2030230089,2011041,76575,1,2485 ELM LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 2485 ELM LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",654,30,502,159,"HEAT/HOT WATER (40), PAINT/PLASTER (24), PLUMBING (21), WATER LEAK (12), PESTS (10), BELL/BUZZER/INTERCOM (9), FLOORING/STAIRS (9), GARBAGE/RECYCLING STORAGE (8), ELECTRIC (7), DOOR/WINDOW (6), MOLD (5), APPLIANCE (4), SAFETY (2), JANITOR/SUPER (1), MAILBOX (1)",26,1913,15,40.8614152,-73.8943637,9,25,24,2022,-1,,,2006090101274003,2006-08-30,1400000,47
505,EAST 178TH STREET,10457,BRONX,208501,2024-08-26,2025-09-01,2030440047,2011446,65988,1,505 EAST 178TH LLC,49 WEST 27TH STREET LBY 10001; 20 SOUTH BROADWAY 300 10701,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 505 EAST 178TH LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",316,33,1107,112,"PAINT/PLASTER (22), PLUMBING (19), HEAT/HOT WATER (13), WATER LEAK (12), APPLIANCE (9), PESTS (8), MOLD (8), FLOORING/STAIRS (7), ELECTRIC (7), DOOR/WINDOW (3), BELL/BUZZER/INTERCOM (2), GARBAGE/RECYCLING STORAGE (1), CABINET (1)",23,1928,15,40.8480995,-73.8961885,2,21,22,2022,1,,,2022022500530002,2022-02-15,3800000,24
900,BRONX PARK SOUTH,10460,BRONX,201836,2024-10-12,2025-09-01,2031250040,2013184,52043,1,900 BPS LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (HeadOfficer), DAVID TENNENBAUM (Agent)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 900 BPS LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",1380,151,1645,232,"HEAT/HOT WATER (38), PLUMBING (38), PAINT/PLASTER (34), WATER LEAK (25), PESTS (21), DOOR/WINDOW (18), MOLD (14), FLOORING/STAIRS (11), APPLIANCE (10), ELECTRIC (8), BELL/BUZZER/INTERCOM (4), GARBAGE/RECYCLING STORAGE (4), ELEVATOR (3), CABINET (2), SAFETY (2)",43,1931,15,40.8461855,-73.8809568,3,44,45,2022,1,,,2004111801494005,2004-11-09,2275000,47
2300,GRAND CONCOURSE,10458,BRONX,201588,2024-08-26,2025-09-01,2031590001,2013733,81798,1,2300 GC LLC,20 SOUTH BROADWAY 300 10701; 49 WEST 27TH STREET LBY 10001,"DAVID TENNENBAUM (Agent), DAVID TENNENBAUM (HeadOfficer)","DAVID TENNENBAUM (Agent), 49 WEST 27TH STREET LBY NEW YORK, NY 10001; DAVID TENNENBAUM (HeadOfficer), 20 SOUTH BROADWAY 300 YONKERS, NY 10701; 2300 GC LLC (Corporation), 20 SOUTH BROADWAY 300 YONKERS, NY 10701",939,149,3797,621,"HEAT/HOT WATER (372), PAINT/PLASTER (41), DOOR/WINDOW (38), PLUMBING (28), PESTS (25), ELECTRIC (24), WATER LEAK (23), APPLIANCE (17), MOLD (15), LINE OF TRAVEL (10), GARBAGE/RECYCLING STORAGE (9), SAFETY (5), ELEVATOR (4), FLOORING/STAIRS (3), JANITOR/SUPER (2), MAILBOX (1), SEWAGE (1), BELL/BUZZER/INTERCOM (1), VENTILATION SYSTEM (1), CABINET (1)",68,1940,15,40.8574699,-73.8992574,6,67,68,2022,1,,,,,,101
